"";"T.Atendimento"
"191";52,8179300186741
"192";14,6153075085326
"193";19,8247282668198
"194";16,0392642731555
"195";16,6207537861175
"196";48,5261766024193
"197";16,6459413846328
"198";16,5876799970809
"199";58,6146590411173
"200";21,3509842621511
"201";25,3542471404335
"202";16,8162803601676
"203";58,1636434542132
"204";17,9120812472436
"205";12,7290019018355
"206";22,6150834974419
"207";15,2979430278314
"208";58,2933594191243
"209";47,2793352526656
"210";26,2328017434446
"211";16,8688005404963
"212";18,8755070263411
"213";42,5365607251811
"214";54,129599572678
"215";14,5913097624553
"216";19,768923295824
"217";19,7165740637036
"218";44,884600282072
"219";49,1328394828675
"220";22,3371405453019
"221";52,3995620601729
"222";46,3648304207991
"223";19,1310713403539
"224";18,1978129175806
"225";14,6110184688831
"226";18,6416745171405
"227";27,7882612779322
"228";21,9127787174472
"229";25,5286101326318
"230";34,1801460605172
"231";39,1413601802071
"232";54,9961664566713
"233";69,03264854435
"234";48,5067092692443
"235";19,7750986813196
"236";19,9963340144561
"237";20,6229182726479
"238";50,0731704492257
"239";23,8541051990138
"240";21,7369148578067
"241";73,7653777804963
"242";31,0793956324243
"243";20,8010963682062
"244";15,0789667499026
"245";26,3504683284355
"246";52,349136688769
"247";51,2361487522419
"248";47,4455868630647
"249";14,1724024331118
"250";49,1664833488764
"251";32,1917936180722
"252";43,9086227130368
"253";52,2291224082218
"254";20,4103576563552
"255";25,0521811757703
"256";12,3651248710517
"257";19,1167229554644
"258";26,737506581704
"259";66,0732121569602
"260";21,2451675620196
"261";18,8790980215691
"262";15,2510164287606
"263";26,3836669928456
"264";49,5812461207358
"265";20,4201467990354
"266";14,7871403545818
"267";15,1775053292857
"268";14,5870216760774
"269";47,2047258483605
"270";22,1652196417568
"271";53,1416152728762
"272";35,8190556347778
"273";14,7553345846751
"274";48,6390907667215
"275";20,1658408260952
"276";16,6171750395701
"277";21,5749531566558
"278";22,9161417096374
"279";38,4865940717432
"280";13,1562660333501
"281";36,0267498861034
"282";23,7312185977899
"283";25,3621562583247
"284";20,2990527355256
"285";50,6512442001973
"286";21,2440476989184
"287";21,2189395626861
"288";59,1466807970619
"289";15,1520152161151
"290";6,63866419926991
"291";22,3372014590304
"292";14,7446050137744
"293";17,4320225276797
"294";24,4299669815044
"295";21,1897923049587
"296";18,501243911113
"297";28,4394819808716
"298";17,8127083642492
"299";50,4085916651532
"300";5,84584968551956
"301";23,9591157269718
"302";44,1086311072178
"303";8,28169510221092
"304";24,6718129566078
"305";44,7662647141263
"306";58,3935078745572
"307";7,18643091779145
"308";16,8592380768068
"309";15,6247510418599
"310";21,2755756488672
"311";48,9109585762588
"312";22,700588678742
"313";14,2639545872946
"314";27,726726027804
"315";13,9596625944654
"316";52,0210400694767
"317";21,1681242687986
"318";15,1575532456152
"319";13,5209371105341
"320";41,7892084765655
"321";55,7502749931408
"322";19,2357882239282
"323";17,5565276134909
"324";23,4089500697067
"325";17,3901089737801
"326";21,1915615747086
"327";26,101507291211
"328";58,4723777381594
"329";18,1109556835847
"330";23,0635691752899
"331";12,2225386480536
"332";21,6246378175913
"333";21,8491171141627
"334";19,2051901377107
"335";20,5605658445586
"336";66,8164549847144
"337";40,2881200971046
"338";20,8580518895615
"339";24,2949662889321
"340";13,4958109542262
"341";24,5697697118555
"342";13,9749034104656
"343";47,3350558527543
"344";43,2983124062194
"345";18,8681236686327
"346";13,5984487630176
"347";24,8575964096021
"348";46,980233252414
"349";21,1397316787075
"350";55,24179283544
"351";22,5526113715739
"352";16,4770235098615
"353";23,3443982495314
"354";24,1451358941631
"355";48,5719040931704
"356";17,4170365245696
"357";52,0072192237132
"358";17,4833477025936
"359";18,6585249093413
"360";53,4787893925526
"361";51,8857459750232
"362";13,1674405827708
"363";24,1876661074394
"364";18,830859018913
"365";44,2199753117521
"366";28,6923979257899
"367";11,7396447055866
"368";15,8421784829816
"369";47,4968330075393
"370";25,8288365996065
"371";19,4860211011664
"372";24,2171371859278
"373";25,4826496351464
"374";29,1971804355952
"375";49,2916018693235
"376";17,4168022749795
"377";30,1694641710871
"378";37,7587233540119
"379";40,4282664119995
"380";19,6603452128651
"381";27,9878960109422
"382";23,6632792951458
"383";19,1000731735263
"384";52,2617148499118
"385";24,4916732345289
"386";19,779911403353
"387";18,492159723097
"388";30,9447248847321
"389";26,1244339902359
"390";67,2630323434996
"391";18,2963753844659
"392";27,3839358011701
"393";24,3010012171355
"394";17,8928054333556
"395";52,7179272308661
"396";23,2590782517596
"397";22,4785489747371
"398";17,4857659014025
"399";19,2531257746801
"400";64,1138977739261
"401";52,3651213748853
"402";23,4509599666698
"403";24,9289189895793
"404";37,1885939606093
"405";24,6804088004913
"406";23,6905207558188
"407";42,5655472271124
"408";52,7496501396597
"409";16,468055906837
"410";23,6189826717992
"411";18,9768745675377
"412";10,2442274243205
"413";53,5107633099971
"414";25,7973707011474
"415";22,1549432234333
"416";17,803058325563
"417";31,372262184465
"418";42,9385931907872
"419";19,1338517672117
"420";13,5691574339458
"421";10,7473899762406
"422";40,1821717108353
"423";21,153978806236
"424";54,4358652885055
"425";20,2729103287183
"426";24,7235202522527
"427";55,2123809193787
"428";26,5651663367586
"429";13,6616330977442
"430";14,2000871994338
"431";23,5598851269805
"432";36,2721609436382
"433";16,1983200086403
"434";15,1019170154492
"435";46,4724798759682
"436";51,688379409964
"437";15,4911831317309
"438";23,1406280712993
"439";48,4799847869438
"440";30,5462161884995
"441";11,8526449996583
"442";17,0286208814703
"443";16,1967113314252
"444";12,9738721555141
"445";20,4818561430128
"446";22,4615289066174
"447";25,747432382142
"448";56,8009714482875
"449";20,9360029205269
"450";40,3031534356412
"451";20,1255118072227
"452";15,6751198203403
"453";42,2390996179645
"454";24,3739116639001
"455";25,1026773061292
"456";43,8031502190106
"457";17,5129730110983
"458";23,2024822630843
"459";8,67397116544498
"460";16,9208592966488
"461";17,1080862086079
"462";18,017047151897
"463";61,2290016823431
"464";17,1740476198624
"465";55,7154930900122
"466";61,170451270204
"467";15,4070480537899
"468";21,7121040113008
"469";19,5594721410986
"470";36,3568262667149
"471";17,1939073549527
"472";22,213447764115
"473";26,2238615501487
"474";12,3640844155223
"475";50,6730222121052
"476";54,8367581153023
"477";27,1041534681155
"478";13,5510911321968
"479";19,2090591081746
"480";24,2860053729258
"481";19,4372237707194
"482";55,9099930506328
"483";21,8823616307913
"484";46,478744738448
"485";15,4078250036258
"486";31,9264488371989
"487";24,6588606780994
"488";19,9565364220545
"489";40,2287414984644
"490";15,6034408166309
"491";21,8925124450244
"492";15,951966755879
"493";39,6452864442068
"494";19,8791768534261
"495";18,1232737291976
"496";43,9623840303725
"497";46,21738947058
"498";47,3694417063753
"499";24,1541056026014
"500";22,5728267366858
